ID,Protected_Area,Violation_Type,Year,Season,Area_m2,Distance_To_Road_km,Distance_To_Urban_km,Fine_Amount,Risk_Level
753,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2005,Summer,52766,17.7,3.3,48737,High
754,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2001,Autumn,48254,12.6,43.3,270935,High
755,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2011,Spring,198,19.5,19.1,2907,Low
756,روضة التنهات,التخييم في المحمية بدون ترخيص,2024,Spring,107,17.6,25.8,9497,Low
757,الملك خالد,إشعال النار في غير الأماكن المخصصة,2021,Summer,4139,9.4,21.1,20000,Medium
758,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2022,Spring,315,2.8,14.6,3681,Low
759,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2004,Autumn,11054,6.3,42.4,240881,High
760,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2021,Autumn,316,2.2,28.1,7852,Low
761,الملك خالد,قطع الأشجار أو الاحتطاب,2017,Summer,3221,2.5,4.3,20000,Medium
762,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2010,Summer,106,6.2,12.9,100,Low
763,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2001,Summer,15345,18.4,6.3,1087472,High
764,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2016,Winter,1579,1.7,23.2,30000,Medium
765,الإمام تركي,حرق النباتات أو الأشجار,2018,Spring,4784,17.2,43.4,20000,Medium
766,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2007,Spring,46785,9.7,49.4,479763,High
767,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2020,Spring,692,8.0,43.3,30000,Medium
768,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2023,Summer,2367,16.4,17.5,8465,Medium
769,الملك خالد,إشعال النار في غير الأماكن المخصصة,2021,Summer,740,10.8,10.1,20000,Medium
770,روضة التنهات,حرق النباتات أو الأشجار,2018,Winter,1110,8.8,48.9,20000,Medium
771,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2005,Spring,11080,14.2,49.7,194926,High
772,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2024,Autumn,1730,14.4,14.9,18517,Medium
773,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2018,Winter,98297,10.9,4.8,68300,High
774,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2000,Autumn,79219,0.4,26.1,566922,High
775,الملك خالد,ترك أو رمي النفايات غير الخطرة,2001,Spring,180,12.2,25.7,1534,Low
776,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2016,Winter,92245,13.9,9.2,88863,High
777,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2005,Summer,3420,3.2,27.8,20000,Medium
778,الملك خالد,قطع الأشجار أو الاحتطاب,2025,Winter,3668,4.3,13.8,20000,Medium
779,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2022,Spring,81396,19.0,7.9,100678,High
780,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2014,Summer,96,15.5,17.8,9997,Low
781,الإمام تركي,التخييم في المحمية بدون ترخيص,2017,Summer,43,17.8,31.6,2928,Low
782,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2001,Spring,4144,7.2,8.3,18587,Medium
783,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2009,Summer,60421,4.0,12.6,606923,High
784,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2016,Autumn,65,7.3,41.4,9111,Low
785,الملك خالد,دخول المحمية بدون تصريح,2014,Winter,451,2.3,44.3,5000,Low
786,الإمام تركي,سير المركبات في غير المسارات المخصصة,2020,Spring,287,14.5,18.7,1192,Low
787,روضة التنهات,التخييم في المحمية بدون ترخيص,2024,Autumn,353,18.2,1.3,4904,Low
788,الملك خالد,إشعال النار في غير الأماكن المخصصة,2007,Spring,4220,2.3,29.0,20000,Medium
789,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2017,Spring,73244,11.1,27.2,1779361,High
790,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2003,Spring,72684,7.5,38.2,43324,High
791,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2004,Summer,78591,6.3,25.5,163706,High
792,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2020,Summer,1677,19.2,22.8,30000,Medium
793,الملك خالد,التخلص من نفايات خطرة داخل المحمية,2002,Summer,16049,15.3,40.8,1447578,High
794,روضة التنهات,حرق النباتات أو الأشجار,2006,Spring,1165,15.9,47.1,20000,Medium
795,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2021,Autumn,61207,9.0,2.0,43980,High
796,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2006,Winter,3728,12.4,24.5,30000,Medium
797,الملك خالد,دخول المحمية بدون تصريح,2012,Autumn,163,5.9,37.7,5000,Low
798,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2016,Autumn,76091,19.1,21.9,246675,High
799,الملك خالد,سير المركبات في غير المسارات المخصصة,2015,Autumn,426,9.0,7.0,3861,Low
800,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2001,Autumn,97905,13.3,42.1,269222,High
801,الملك عبدالعزيز,دخول المحمية بدون تصريح,2003,Spring,55,14.7,38.7,5000,Low
802,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2017,Autumn,82355,10.0,9.7,166220,High
803,الملك عبدالعزيز,دخول المحمية بدون تصريح,2015,Summer,255,7.9,24.2,5000,Low
804,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2010,Summer,94242,15.6,42.5,123204,High
805,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2005,Winter,17665,2.5,7.9,50534,High
806,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2002,Summer,71708,17.2,33.7,461448,High
807,الملك خالد,حرق النباتات أو الأشجار,2008,Spring,3325,10.6,13.7,20000,Medium
808,الملك خالد,التخلص من نفايات خطرة داخل المحمية,2009,Winter,96074,9.7,3.8,180037,High
809,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2011,Winter,4809,11.7,7.1,30000,Medium
810,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2011,Winter,38541,9.8,2.2,79063,High
811,الملك خالد,إشعال النار في غير الأماكن المخصصة,2015,Autumn,2174,14.6,40.8,20000,Medium
812,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2021,Winter,371,17.1,37.7,4755,Low
813,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2025,Spring,79205,7.8,15.1,77302,High
814,الملك خالد,قطع الأشجار أو الاحتطاب,2016,Summer,4681,18.4,1.6,20000,Medium
815,الملك خالد,قطع الأشجار أو الاحتطاب,2005,Winter,1419,13.5,17.5,20000,Medium
816,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2024,Autumn,48,8.6,4.7,200,Low
817,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2009,Spring,313,10.1,38.7,9713,Low
818,روضة التنهات,دخول المحمية بدون تصريح,2006,Autumn,288,7.7,36.2,5000,Medium
819,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2018,Spring,27785,7.9,31.2,874785,High
820,روضة التنهات,قطع الأشجار أو الاحتطاب,2011,Winter,4997,6.4,6.2,20000,Medium
821,الملك خالد,حرق النباتات أو الأشجار,2000,Summer,935,17.4,28.7,20000,Medium
822,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2022,Summer,3613,9.2,24.6,20000,Medium
823,الملك خالد,ترك أو رمي النفايات غير الخطرة,2015,Winter,330,2.4,9.4,5887,Low
824,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2025,Spring,191,6.9,42.8,200,Low
825,الإمام تركي,سير المركبات في غير المسارات المخصصة,2001,Summer,395,7.6,30.6,1331,Low
826,روضة التنهات,حرق النباتات أو الأشجار,2008,Autumn,4877,7.0,2.7,20000,Medium
827,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2013,Spring,80148,14.4,14.3,1064212,High
828,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2014,Autumn,1259,15.2,34.1,30000,Medium
829,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2022,Winter,65101,13.9,47.3,168272,High
830,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2015,Spring,246,17.0,11.1,7380,Low
831,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2011,Autumn,77,16.2,16.6,100,Low
832,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2021,Autumn,95367,10.8,45.7,1245296,High
833,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2025,Spring,32105,9.0,24.9,181949,High
834,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2007,Winter,921,6.7,35.3,30000,Medium
835,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2021,Summer,51762,6.3,20.6,154824,High
836,الملك خالد,سير المركبات في غير المسارات المخصصة,2004,Summer,13,8.2,12.7,4185,High
837,روضة التنهات,التخييم في المحمية بدون ترخيص,2001,Winter,318,10.9,33.0,4953,Low
838,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2009,Winter,61574,1.3,15.7,37675,High
839,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2009,Spring,227,1.2,29.6,8952,Low
840,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2006,Summer,1418,14.1,21.1,30000,Medium
841,الملك خالد,التخلص من نفايات خطرة داخل المحمية,2007,Autumn,42335,0.9,19.0,860783,High
842,الإمام تركي,دخول المحمية بدون تصريح,2024,Summer,107,9.4,18.6,5000,Low
843,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2003,Summer,36,9.6,19.9,100,Low
844,الملك خالد,التخلص من نفايات خطرة داخل المحمية,2022,Winter,11997,9.7,4.4,1550329,High
845,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2022,Autumn,17126,3.3,4.0,74926,High
846,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2017,Spring,64342,17.2,15.9,1336224,High
847,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2020,Autumn,38635,4.1,1.5,90691,High
848,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2025,Spring,84553,6.7,3.6,89236,Medium
849,الملك خالد,قطع الأشجار أو الاحتطاب,2016,Summer,1967,10.5,7.1,20000,Medium
850,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2007,Spring,91064,2.8,23.9,1566232,Medium
851,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2000,Spring,156,0.3,38.3,100,Low
852,روضة التنهات,دخول المحمية بدون تصريح,2024,Winter,442,5.1,26.0,5000,Low
853,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2022,Autumn,2766,18.5,48.1,30000,Medium
854,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2014,Spring,1193,5.3,24.1,20000,Medium
855,روضة التنهات,التخييم في المحمية بدون ترخيص,2002,Winter,28,11.8,41.2,1607,Low
856,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2011,Winter,96288,1.4,4.6,259534,High
857,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2008,Winter,29502,5.2,18.0,1605350,High
858,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2019,Winter,81050,11.4,30.9,72738,High
859,روضة التنهات,دخول المحمية بدون تصريح,2004,Summer,440,13.8,37.7,5000,Low
860,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2003,Spring,13949,17.7,5.8,586250,High
861,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2023,Spring,12837,1.3,14.3,1239003,High
862,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2010,Summer,64305,2.8,42.7,268168,High
863,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2002,Spring,26120,15.7,24.7,1204438,High
864,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2014,Summer,55251,4.6,25.7,246243,High
865,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2017,Summer,455,16.9,4.9,3939,Low
866,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2003,Spring,34777,18.5,33.3,1310003,High
867,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2002,Spring,2940,5.0,48.4,20000,Medium
868,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2011,Spring,229,16.8,16.8,200,Low
869,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2022,Autumn,159,2.5,12.3,200,Low
870,الإمام تركي,إشعال النار في غير الأماكن المخصصة,2017,Spring,1658,9.9,16.7,20000,Medium
871,الملك خالد,سير المركبات في غير المسارات المخصصة,2025,Winter,405,8.9,29.3,8238,Low
872,الملك عبدالعزيز,حرق النباتات أو الأشجار,2022,Spring,817,12.2,5.3,20000,Low
873,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2013,Spring,57709,4.3,42.2,209788,High
874,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2002,Winter,13177,2.8,47.7,433327,High
875,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2006,Autumn,185,10.9,7.2,4952,Low
876,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2018,Winter,53773,14.1,11.7,67042,High
877,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2004,Autumn,4087,8.4,22.8,20000,Medium
878,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2013,Spring,2002,8.7,5.5,20000,Medium
879,روضة التنهات,دخول المحمية بدون تصريح,2008,Spring,271,6.3,4.0,5000,Low
880,روضة التنهات,التخييم في المحمية بدون ترخيص,2014,Summer,189,13.9,38.5,8457,Low
881,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2006,Winter,13418,14.6,35.0,274699,High
882,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2021,Autumn,3240,9.2,20.4,8435,Medium
883,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2020,Autumn,44,10.4,36.4,4554,Low
884,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2012,Spring,2709,0.6,23.0,30000,Medium
885,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2006,Summer,2994,5.2,23.7,44539,Medium
886,روضة التنهات,التخييم في المحمية بدون ترخيص,2021,Autumn,404,12.5,15.8,8260,Low
887,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2017,Summer,261,15.3,14.0,100,High
888,روضة التنهات,حرق النباتات أو الأشجار,2009,Summer,3333,1.7,22.3,20000,Medium
889,الملك خالد,دخول المحمية بدون تصريح,2005,Summer,185,4.5,6.1,5000,Low
890,الملك خالد,سير المركبات في غير المسارات المخصصة,2020,Summer,11,2.2,32.8,2132,Low
891,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2006,Spring,78495,2.3,3.4,173004,High
892,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2025,Autumn,90178,16.4,48.5,1265973,High
893,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2003,Spring,88848,12.8,17.7,205199,High
894,الإمام تركي,إشعال النار في غير الأماكن المخصصة,2000,Winter,4624,0.6,35.1,20000,Medium
895,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2017,Summer,111,1.4,41.3,100,Low
896,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2010,Spring,108,5.2,38.6,100,Low
897,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2009,Winter,81478,1.4,30.0,264066,High
898,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2021,Winter,6211,12.9,16.3,443445,High
899,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2025,Winter,335,19.6,33.4,100,Low
900,روضة التنهات,التخييم في المحمية بدون ترخيص,2014,Summer,355,1.2,17.8,7597,Low
901,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2015,Summer,74263,14.3,48.7,117036,High
902,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2013,Winter,87357,5.0,21.6,53162,High
903,الإمام تركي,إشعال النار في غير الأماكن المخصصة,2007,Summer,3323,13.5,17.4,20000,Medium
904,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2017,Winter,350,1.1,42.3,100,Low
905,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2012,Spring,274,14.6,43.6,6785,Low
906,روضة التنهات,قطع الأشجار أو الاحتطاب,2015,Spring,1338,16.8,1.9,20000,Medium
907,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2023,Winter,382,7.1,30.2,200,Low
908,الملك خالد,التخييم في المحمية بدون ترخيص,2004,Spring,444,11.7,37.3,2040,Low
909,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2000,Summer,782,6.2,38.2,30000,Medium
910,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2025,Spring,1447,6.6,30.5,30000,Medium
911,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2019,Summer,95937,16.2,34.0,179529,High
912,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2008,Summer,221,19.2,2.6,7720,Low
913,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2025,Winter,320,4.8,25.2,200,Low
914,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2007,Autumn,3058,19.5,11.9,20000,Medium
915,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2003,Summer,71830,16.7,25.2,1396352,High
916,روضة التنهات,إتلاف المنشآت الثابتة أو المسيجات,2022,Summer,68884,6.0,18.4,134361,Medium
917,الإمام تركي,حرق النباتات أو الأشجار,2015,Summer,4854,17.6,10.6,20000,Medium
918,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2012,Winter,3002,9.1,47.3,13191,Medium
919,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2024,Autumn,1046,2.0,8.0,20000,Medium
920,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2019,Winter,72136,2.7,32.5,241812,High
921,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2017,Spring,43563,3.4,7.1,118835,High
922,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2025,Winter,51691,0.5,6.0,241807,High
923,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2001,Autumn,197,8.6,17.7,5766,Low
924,الملك عبدالعزيز,رعي الإبل أو الأبقار (للرأس الواحد),2014,Summer,407,19.7,34.6,200,Low
925,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2011,Winter,22138,18.2,19.8,487544,High
926,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2009,Summer,256,11.5,5.8,200,Low
927,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2008,Spring,83636,5.1,4.3,329849,High
928,روضة التنهات,التخييم في المحمية بدون ترخيص,2014,Winter,390,5.2,36.3,7481,Low
929,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2002,Summer,50809,18.0,46.8,481544,High
930,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2019,Spring,371,0.4,45.6,200,Low
931,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2007,Autumn,960,13.6,12.6,16043,Medium
932,الملك خالد,سير المركبات في غير المسارات المخصصة,2002,Spring,398,1.3,37.0,9318,Low
933,الملك خالد,سير المركبات في غير المسارات المخصصة,2002,Spring,38,1.9,17.8,4769,Low
934,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2001,Winter,4262,2.8,3.7,18548,Medium
935,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2012,Spring,671,15.8,12.9,7719,Medium
936,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2024,Spring,1629,14.7,9.5,30000,Medium
937,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2002,Spring,80,11.7,15.7,200,Low
938,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2009,Autumn,417,15.9,30.2,200,Low
939,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2019,Spring,81298,3.2,31.7,69238,High
940,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2007,Spring,4264,4.3,37.1,20000,Medium
941,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2010,Summer,338,14.4,33.6,100,Low
942,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2017,Spring,2758,8.8,26.7,20000,Medium
943,روضة التنهات,حرق النباتات أو الأشجار,2015,Summer,4764,17.6,14.2,20000,Medium
944,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2004,Winter,4435,4.8,31.8,30000,Medium
945,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2017,Winter,40790,9.0,24.9,1351708,Low
946,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2016,Spring,3715,10.2,22.6,30000,Medium
947,الملك خالد,التخلص من نفايات خطرة داخل المحمية,2008,Autumn,11789,0.1,30.1,163253,High
948,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2021,Spring,2282,5.1,41.8,30000,Medium
949,الملك خالد,حرق النباتات أو الأشجار,2006,Autumn,2175,10.9,7.3,20000,Medium
950,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2014,Autumn,3200,15.6,11.8,46780,Medium
951,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2009,Autumn,725,2.6,19.7,14362,Medium
952,الإمام تركي,قطع الأشجار أو الاحتطاب,2006,Winter,3306,11.8,6.4,20000,Medium
953,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2017,Autumn,142,9.6,48.7,6994,Low
954,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2022,Spring,1816,7.8,36.9,33463,Medium
955,الملك خالد,التخييم في المحمية بدون ترخيص,2009,Winter,428,4.8,2.0,1213,Low
956,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2018,Autumn,73,0.2,34.3,1754,Low
957,الملك خالد,التخييم في المحمية بدون ترخيص,2002,Spring,204,12.4,3.2,4801,Low
958,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2009,Summer,55568,16.2,20.6,421493,High
959,الملك خالد,حرق النباتات أو الأشجار,2025,Autumn,3571,13.5,34.8,20000,High
960,الإمام تركي,سير المركبات في غير المسارات المخصصة,2004,Winter,240,10.9,48.4,6035,Low
961,روضة التنهات,دخول المحمية بدون تصريح,2006,Spring,78,7.6,48.3,5000,High
962,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2007,Winter,52218,10.1,13.6,1753067,High
963,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2020,Winter,61321,6.9,47.7,280246,High
964,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2025,Spring,326,13.7,25.7,100,Low
965,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2024,Winter,3284,17.5,31.0,49640,Medium
966,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2021,Summer,98789,5.4,2.5,146516,High
967,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2023,Spring,15707,14.7,43.5,1748142,High
968,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2013,Autumn,25,17.1,43.0,7227,Low
969,الملك عبدالعزيز,رعي الإبل أو الأبقار (للرأس الواحد),2022,Autumn,225,9.0,6.0,200,Low
970,الملك خالد,التخييم في المحمية بدون ترخيص,2021,Autumn,197,4.8,32.3,7335,Low
971,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2015,Summer,4741,11.9,7.2,30000,Medium
972,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2020,Winter,4234,11.7,4.9,30000,Medium
973,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2020,Summer,3550,10.6,29.6,33720,Medium
974,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2008,Winter,475,1.2,28.2,8030,Low
975,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2019,Winter,447,15.9,24.8,9946,Low
976,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2016,Autumn,4939,6.2,9.3,30000,Medium
977,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2010,Autumn,236,6.0,33.9,2447,Low
978,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2008,Autumn,80039,5.6,36.8,1306288,High
979,روضة التنهات,التخييم في المحمية بدون ترخيص,2012,Spring,431,14.5,47.3,6285,Low
980,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2013,Summer,246,4.0,43.8,100,Low
981,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2013,Autumn,481,5.7,14.1,100,Low
982,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2019,Spring,451,11.7,37.0,1495,Low
983,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2021,Spring,98220,9.1,2.9,76393,High
984,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2003,Spring,57066,16.1,39.5,161850,High
985,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2017,Summer,87315,7.6,38.1,274782,High
986,الملك خالد,سير المركبات في غير المسارات المخصصة,2022,Summer,139,8.3,46.7,4379,Low
987,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2004,Spring,26322,2.3,43.9,85739,High
988,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2011,Autumn,59,12.5,47.4,200,Medium
989,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2014,Summer,51157,4.1,37.5,1449131,High
990,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2004,Autumn,4271,0.4,36.8,20000,Medium
991,الملك عبدالعزيز,رعي الإبل أو الأبقار (للرأس الواحد),2025,Spring,465,19.7,3.7,200,Low
992,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2005,Spring,742,7.5,8.8,20000,Medium
993,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2016,Autumn,34283,6.4,30.1,151387,High
994,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2005,Summer,165,4.9,1.8,200,Low
995,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2007,Summer,3397,2.1,10.8,20000,Medium
996,الإمام تركي,دخول المحمية بدون تصريح,2024,Summer,223,4.9,42.3,5000,Low
997,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2002,Autumn,2927,18.4,32.9,20000,High
998,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2007,Spring,4367,6.4,39.7,30000,Medium
999,الملك خالد,التخييم في المحمية بدون ترخيص,2007,Summer,318,15.5,40.4,8267,Low
1000,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2006,Spring,291,16.0,35.7,100,Low
1001,الإمام تركي,سير المركبات في غير المسارات المخصصة,2006,Spring,471,15.6,20.1,4781,Low
1002,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2010,Autumn,18163,19.4,8.8,792046,High
1003,الإمام تركي,حرق النباتات أو الأشجار,2018,Spring,3322,4.4,11.8,20000,Medium
1004,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2013,Autumn,124,3.8,1.5,1209,Low
